SEASON,TEAM,GP,GS,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS,Plus/minus
2011-12,GS,66,29,24.4,4.8-10.9,44.3,1.7-4.1,41.4,1.2-1.4,86.8,0.4,2.1,2.4,2,0.3,0.7,2.3,1.6,12.5,-2
2012-13,GS,82,82,35.8,6.2-14.7,42.2,2.6-6.4,40.1,1.6-1.9,84.1,0.4,3.3,3.7,2.2,0.5,1,2.9,1.9,16.6,1.3
2013-14,GS,81,81,35.4,6.9-15.5,44.4,2.8-6.6,41.7,1.8-2.3,79.5,0.5,2.6,3.1,2.2,0.5,0.9,2.9,1.7,18.4,6.6
2014-15,GS,77,77,31.9,7.8-16.9,46.3,3.1-7.1,43.9,2.9-3.3,87.9,0.4,2.9,3.2,2.9,0.8,1.1,1.6,1.9,21.7,10.1
2015-16,GS,80,80,33.3,8.1-17.3,47,3.5-8.1,42.5,2.4-2.8,87.3,0.4,3.4,3.8,2.1,0.6,0.8,1.9,1.7,22.1,10.5
2016-17,GS,78,78,34,8.3-17.6,46.8,3.4-8.3,41.4,2.4-2.8,85.3,0.6,3,3.7,2.1,0.5,0.8,1.8,1.6,22.3,10.3
2017-18,GS,73,73,34.3,7.9-16.1,48.8,3.1-7.1,44,1.1-1.3,83.7,0.4,3.4,3.8,2.5,0.5,0.8,1.6,1.8,20,5.4
2018-19,GS,78,78,34,8.4-18.0,46.7,3.1-7.7,40.2,1.7-2.0,81.6,0.5,3.4,3.8,2.4,0.6,1.1,2,1.5,21.5,4.5
2021-22,GS,31,31,29.4,7.4-17.5,42.3,3.5-9.1,37.9,1.4-1.5,91.7,0.5,3.5,3.9,2.8,0.5,0.5,1.7,1.3,19.7,2.1
Career,,646,609,32.9,7.3-16.0,45.7,2.9-7.1,41.7,1.9-2.2,85,0.4,3,3.5,2.3,0.5,0.9,2.1,1.7,19.5,5.422222222
